id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
11,0,0,北京,b,bei jing,1.1E+11,北京市
1101,11,1,北京,b,bei jing,1.101E+11,北京市
110101,1101,2,东城,d,dong cheng,1.10101E+11,東城區
110102,1101,2,西城,x,xi cheng,1.10102E+11,西城區
110105,1101,2,朝阳,c,chao yang,1.10105E+11,朝陽區
110106,1101,2,丰台,f,feng tai,1.10106E+11,豐臺區
110107,1101,2,石景山,s,shi jing shan,1.10107E+11,石景山區
110108,1101,2,海淀,h,hai dian,1.10108E+11,海澱區
110109,1101,2,门头沟,m,men tou gou,1.10109E+11,門頭溝區
110111,1101,2,房山,f,fang shan,1.10111E+11,房山區
110112,1101,2,通州,t,tong zhou,1.10112E+11,通州區
110113,1101,2,顺义,s,shun yi,1.10113E+11,順義區
110114,1101,2,昌平,c,chang ping,1.10114E+11,昌平區
110115,1101,2,大兴,d,da xing,1.10115E+11,大興區
110116,1101,2,怀柔,h,huai rou,1.10116E+11,懷柔區
110117,1101,2,平谷,p,ping gu,1.10117E+11,平穀區
110118,1101,2,密云,m,mi yun,1.10118E+11,密雲區
110119,1101,2,延庆,y,yan qing,1.10119E+11,延慶區
12,0,0,天津,t,tian jin,1.2E+11,天津市
1201,12,1,天津,t,tian jin,1.201E+11,天津市
120101,1201,2,和平,h,he ping,1.20101E+11,和平區
120102,1201,2,河东,h,he dong,1.20102E+11,河東區
120103,1201,2,河西,h,he xi,1.20103E+11,河西區
120104,1201,2,南开,n,nan kai,1.20104E+11,南開區
120105,1201,2,河北,h,he bei,1.20105E+11,河北區
120106,1201,2,红桥,h,hong qiao,1.20106E+11,紅橋區
120110,1201,2,东丽,d,dong li,1.2011E+11,東麗區
120111,1201,2,西青,x,xi qing,1.20111E+11,西青區
120112,1201,2,津南,j,jin nan,1.20112E+11,津南區
120113,1201,2,北辰,b,bei chen,1.20113E+11,北辰區
120114,1201,2,武清,w,wu qing,1.20114E+11,武清區
120115,1201,2,宝坻,b,bao di,1.20115E+11,寶坻區
120116,1201,2,滨海新区,b,bin hai xin qu,1.20116E+11,濱海新區
120117,1201,2,宁河,n,ning he,1.20117E+11,寧河區
120118,1201,2,静海,j,jing hai,1.20118E+11,靜海區
120119,1201,2,蓟州,j,ji zhou,1.20119E+11,薊州區
13,0,0,河北,h,he bei,1.3E+11,河北省
1301,13,1,石家庄,s,shi jia zhuang,1.301E+11,石家莊市
130102,1301,2,长安,c,chang an,1.30102E+11,長安區
130104,1301,2,桥西,q,qiao xi,1.30104E+11,橋西區
130105,1301,2,新华,x,xin hua,1.30105E+11,新華區
130107,1301,2,井陉矿区,j,jing xing kuang qu,1.30107E+11,井陘礦區
130108,1301,2,裕华,y,yu hua,1.30108E+11,裕華區
